締,光をもって光を暴き出す締
いいかな,……OK…か。そう思うのも無理はない……
いいか,……OK…か。そう思うのも無理はない……
大丈夫？,……OK…か。そう思うのも無理はない……
大丈夫か？,……OK…か。そう思うのも無理はない……
OSAKA,オオサカは封印されたはずだが…
奴,人間の為れ果て
あいつ,人間の為れ果て
アイツ,人間の為れ果て
良い,大義のためなら何をしたって良い
構わな,大義のためなら何をしたって良
大丈夫,大義のためなら何をしたっていい
問題な,大義のためなら何をしたって良
っす,ダス
氏,枢機卿
あるいは,それとも…貴様自身が我に挑むか……！いや、あるいは
もしくは,それとも…貴様自身が我に挑むか……！いや、あるいは
または,それとも…貴様自身が我に挑むか……！いや、あるいは
？,…さあ…この力…どう使う……？
し、,し、世界を闇へと誘い
OK,よかろう、引き受けた
承知,よかろう、引き受けた
承り,よかろう、引き受け
かしこまり,よかろう、引き受け
解！,解！―グルガン族の男はかく語りき
た！,た！―グルガン族の男はかく語りき
した。,した。―グルガン族の男はかく語りき
クルマ,鋼鉄の馬車
車,鋼鉄の馬車
起床,覚醒
目覚め,覚醒
起き,覚醒し
さらに,終わりなき人の世を象徴するかのように
もっと,終わりなき人の世を象徴するかのように
そのうえ,終わりなき人の世を象徴するかのように
その上,終わりなき人の世を象徴するかのように
追加で,終わりなき人の世を象徴するかのように
ジュース,エリクサー
飲み水,エリクサー
飲料水,エリクサー
薬,大陸の秘薬
状態,ステータス
かたち,ステータス
様子,ステータス
ようす,ステータス
帰宅,降誕
登場,降誕
参上,降誕
出社,降誕
れは,れは実はセフィロスコピーだった
と言っ,と預言書にあっ
と言う,と預言書にある
といい,と預言書にあり
という,と預言書にある
といっ,と預言書にあっ
乳首,クリスタル
しながら,しながらも、人は目を背ける―――
べながら,べながらも、人は目を背ける―――
ブラ,スコピオハーネス
ブラジャー,スコピオハーネス
コルセット,スコピオハーネス
ランニング,スコピオハーネス
乳首,墓標
同意,共鳴
合意,共鳴
締結,共鳴
契約,共鳴
約束,共鳴
谷間,薔薇園の亀裂
谷,薔薇園の亀裂
裂け目,薔薇園の亀裂
切れ目,薔薇園の亀裂
決別,薔薇園の亀裂
別れ,薔薇園の亀裂
心配し,破壊され尽くした世界を憂い
心配,破壊され尽くした世界への憂い
不安,破壊され尽くした世界への憂い
チ,ティ
ー,ー(…それは人類の罪……)
すぐに,すぐに新たな物語が動き出す。
ただちに,ただちに新たな物語が動き出す。
即座に,即座に新たな物語が動き出す。
セ,光り輝くセ
モード,光り輝くリユニオンモード
状態,光り輝くリユニオンモード
ステータス,光り輝くリユニオンモード
ベロ,太陽の瞳、月の唇ベロ
舌,太陽の瞳、月の唇ベロ
唇,太陽の瞳、月の唇
くちびる,太陽の瞳、月の唇
瞳,太陽の瞳、月の唇
目,太陽の瞳、月の唇
胸,胸部装甲
チェスト,胸部装甲
ブレスト,胸部装甲
膨らみ,騎士団の誓い
ふくらみ,騎士団の誓い
出し,出し、狂乱の聖女
だし,だし、狂乱の聖女
性別,ファルシ
性,ファルシ
男女,ファルシ
対処,パージ
対応,パージ
対策,パージ
玩具,アモルファス
おもちゃ,アモルファス
ホビー,アモルファス
ゲーム,アモルファス
カード,アモルファス
拓,クラ
也,ウド
たくや,クラウド
タクヤ,クラウド
タク,クラ
ヤ,ウド
マラ,響け！クリスタルロッド
笑顔,ブラッドレイジ
衣,聖骸布＜パンツァー＞
着,聖骸布＜パンツァー＞
パンツ,聖骸布＜パンツァー＞
パンティ,聖骸布＜パンツァー＞
下着,聖骸布＜パンツァー＞
ブルマ,聖骸布＜パンツァー＞
奴,漆黒の騎士
超,チョーエリトロクルオンシミュレーテッド
ヨー,ョーエリトロクルオンシミュレーテッド
エロ,エリトロクルオンシミュレーテッド
エリ,エリトロクルオンシミュレーテッド
ている,て…わからないか？…この先にガストラとケフカ…そして…三闘神がいる
いる,…わからないか？…この先にガストラとケフカ…そして…三闘神がいる
2人,それぞれの運命を背負った二人
２人,それぞれの運命を背負った二人
両人,それぞれの運命を背負った二人
コンビ,それぞれの運命を背負った二人
シャワー,この星全ての力を吸収したシャワー
シャ,この星全ての力を吸収したシャ
ヴォ,―哀れなほどに未熟な―ヴォ
ボ,―哀れなほどに未熟な―ヴォ
そのまま,預言書の導くまま
同じまま,預言書の導くまま
状態のまま,預言書の導くまま
状態で,預言書の導くまま
体,魔法のボディ
身体,肉体
体つき,肉体
を当,の奏でる美しき調べを当
の当,の奏でる美しき調べの当
無限,その地平に果てはなく悠久
どこまで,その地平に果てはなく悠久
永久,その地平に果てはなく悠久
ずっと,その地平に果てはなく悠久の
レの,レのクリムゾン
から,、つまり光と闇の両側の世界から
吸,喰ら
食べ,喰らっ
すごい,すっげー…許さねぇ…！
スゴイ,すっげー…許さねぇ…！
スゴい,すっげー…許さねぇ…！
凄い,すっげー…許さねぇ…！
すっげー！,すっげー…許さねぇ…！
やる,本物の暴力ってやつを教えてやる
狂う,運命の歯車を狂わせる
狂い,運命の歯車を狂わせ
こと,魔法
事,魔法
がし,がして、そして世界を救い
ここは,ここは世界を救う鍵となる
これは,これは世界を救う鍵となる
これが,これが世界を救う鍵となる
清掃,浄火
洗車,浄火
洗い,浄火し
洗う,浄火する
布団,棺
寝床,棺
べろべろ,ヴェロス・ヴェロス
ぺろぺろ,ヴェロス・ヴェロス
ペロペロ,ヴェロス・ヴェロス
舌,妖艶な薔薇
鼻,希望溢れし聖なる塔
アホ毛,希望溢れし聖なる塔
寝癖,希望溢れし聖なる塔
寝グセ,希望溢れし聖なる塔
した。,…そう、闇の回廊がひとりでに開いた。
空洞,アトモス
空白,アトモス
スペース,アトモス
余白,アトモス
もう,激突する闇と闇――
既に,激突する闇と闇――
もはや,激突する闇と闇――
わけ,“世界の真実”
訳,“世界の真実”
理由,“世界の真実”
原理,“世界の真実”
わから,人類の叡智は未だ及ば
分から,人類の叡智は未だ及ば
分かん,人類の叡智は未だ及ば
知ら,人類の叡智は未だ及ば
解け,人類の叡智は未だ及ば
ないよ,ないよ―――ッ！
お互い,…信じられないだろうがお互い
互い,…信じられないだろうがお互い
相互,…信じられないだろうがお互い
双方向,…信じられないだろうがお互い
両方,…信じられないだろうがお互い
2人とも,…信じられないだろうがお互い
二人とも,…信じられないだろうがお互い
2つとも,…信じられないだろうがお互い
戦闘,四神円舞
格闘,四神円舞
戦い,四神円舞
試合,四神円舞
プレー,四神円舞
プレイ,四神円舞
ゲーム,四神円舞
激闘,四神円舞
熾烈な,緋く燃ゆる烈火の如き
熾烈に,緋く燃ゆる烈火の如く
続け,残酷な運命を紡ぎ続け
涙,生命の雫
身体,概念として存在する肉体
ボディ,概念として存在する肉体
バディ,概念として存在する肉体
躰,概念として存在する肉体
手足,概念として存在する肉体
四肢,概念として存在する肉体
息,創世のイキ
エロい,イカれてやがる
おかしい,イカれてやがる
やばい,イカれてやがる
ヤバい,イカれてやがる
普通ではない,イカれてやがる
普通じゃない,イカれてやがる
足で,アダマン鋼鉄の義足で
足に,アダマン鋼鉄の義足に
アナ,聖アヌス
指,魔獣の爪
挿入,突き刺
局部,聖なる領域
秘部,聖なる領域
デリケートゾーン,聖なる領域
生殖器,聖なる領域
性器,聖なる領域
を締,…そして、世界を締
を閉,…そして、世界を閉
が閉,…そして、世界が閉
をし,…そして、世界をし
がし,…そして、世界がし
腹筋,装甲
肌,装甲
スキン,装甲
表面,装甲
外側,装甲
ながら,ながらも、人は神に抗い続ける―――
つつ,つつも、人は神に抗い続ける―――
爪,ゲパルト烈爪
フィスト,ゲパルト烈爪
張り手,ゲパルト烈爪
パンチ,ゲパルト烈爪
ストレート,ゲパルト烈爪
胸中,魂の寄る辺
ハート,魂の寄る辺
股間,魂の寄る辺
手で,その薄汚ねェ手で
液体,エーテル
抱擁,浸蝕
タッチ,浸蝕
接触,浸蝕
ハグ,浸蝕
抱きつき,浸蝕
抱きつい,侵蝕し
お互い,仮想プログラムで動くお互い
互いに,仮想プログラムで動くお互いに
腹,魔導ボディ
白かっ,触れるもの全てを光に還し
白く,触れるもの全てを光に還し
小水,禁断の蜜
しっこ,禁断の蜜
尿,禁断の蜜
もの,マテリア
物,マテリア
ごいな,ごいな……ば…化物……め！！
ごい,ごい……ば…化物……め！！
予約,アーリーアクセス
先行,アーリーアクセス
温泉,ライフストリーム
飲料,ライフストリーム
栄養,ライフストリーム
いる,いる…やだよ…死にたくねぇよ…
超,暴力的なまでに
とても,暴力的なまでに
すごく,暴力的なまでに
めちゃ,暴力的なまでに
上,天空
↑,天空
うえ,天空
カキン,クァ＝キン
課金,クァ＝キン
家禽,クァ＝キン
硬さ,超硬度
硬か,超硬度だ
固さ,超硬度
固か,超硬度だ
すごい,すごい…そんな……馬鹿な…
なんと,なんと…そんな……馬鹿な…
てこと,てこと…そんな……馬鹿な…
手足,電脳と一体化した手足
肉体,電脳と一体化した肉体
円,スフィア
回,円舞(マワ)
布団,棺
寝床,棺
チク,闇に飲まれたチク
れた,闇に飲まれた
マラ,神と人との狭間のマラ
間の,神と人との狭間の
との,と神と人との狭間の
について,について記された預言書によると
ビル,ビルに化けていた魔物
れなが,れ、時折優しい笑みを浮かべなが
しなが,し、時折優しい笑みを浮かべなが
乳首,クリスタルタワー
ビル,クリスタルタワー
タワマン,クリスタルタワー
マラ,クリスタルロッド
タチ,タチという名の闇
という,という名の闇
バリ,光を司るバリ
担当する,光を司る
担う,光を司る
が決定,…そして訪れる終焉が決定
を決定,…そして訪れる終焉を決定
を確定,…そして訪れる終焉を確定
が決議,…そして訪れる終焉が決議
を決議,…そして訪れる終焉を決議
エロ,エトロ
節々,駆動構造
関節,駆動構造
ジョイント,駆動構造
接合部,駆動構造
麻痺,パライズ
痺れ,パライズ
男性,戦士
ために,、そして人類を新たな“段階”へと導くために
ためにだ,、そして人類を新たな“段階”へと導くためだ
為に,そして人類を新たな“段階”へと導く為に
為の,そして人類を新たな“段階”へと導く為の
為だ,そして人類を新たな“段階”へと導く為だ
上,天
肛,汚らわしき
排水口,汚らわしき門
下水口,汚らわしき門
一物,アルテマウェポン
イチモツ,アルテマウェポン
自慢,アルテマウェポン
自信,アルテマウェポン
さあ,さっきまでの威勢はどうした、さあ
やれ,さっきまでの威勢はどうした、やれ
更に,死してなお
さらに,死してなお
追加して,死してなお
追加で,死してなお
ケツ,羅生門
門,羅生門
たくや」,たくや。…いや。“セフィロス”」
教育,洗脳
授業,洗脳
教え,洗脳
故意に,預言書の記述に従い
望んで,預言書の記述に従い
意思で,預言書の記述に従い
あげる,やる。ヤツにとってこれ以上の屈辱もあるまい
やる,やる。ヤツにとってこれ以上の屈辱もあるまい
やった,やった。ヤツにとってこれ以上の屈辱もあるまい
あげた,やった。ヤツにとってこれ以上の屈辱もあるまい
あげます,やる。ヤツにとってこれ以上の屈辱もあるまい
あげました,やった。ヤツにとってこれ以上の屈辱もあるまい
おー！,フハハー！
おー,フハハー
よー,フハハー
奴,騎士
動き,ムーブメント
次に,一万年の時を経て
次,一万年の時を経た時
次回,一万年の時を経た時
更に,奴の愚行はそれだけに治まらず
加えて,奴の愚行はそれだけに治まらず
そして,奴の愚行はそれだけに治まらず
さらには,奴の愚行はそれだけに治まらず
なんと,奴の愚行はそれだけに治まらず
中,奥底
大きな,巨人族
大きい,巨人族
デカイ,巨人族
デカい,巨人族
続け,戦い続け
オレ,光に導かれしオレ
俺,光に導かれし俺
開発,世界を切り開く…私はもう己を見失いはしない
制作,世界を切り開く…私はもう己を見失いはしない
製作,世界を切り開く…私はもう己を見失いはしない
創作,世界を切り開く…私はもう己を見失いはしない
クリエイター,世界を切り開く…私はもう己を見失いはしない者
作る,世界を切り開く…私はもう己を見失いはしない
作り,世界を切り開く…私はもう己を見失いはしま
脆弱性,アトモス
弱点,アトモス
ジム,暗黒闘技場
クラス,暗黒闘技場
職場,暗黒闘技場
会議室,暗黒闘技場
教室,暗黒闘技場
体育館,暗黒闘技場
をそ,、そしてエアリスをそ
ぎゅ,エーテリアルギュ
ギ,エーテリアルギ
筋肉,駆動構造
性,ファルシ
おお,フハハ…
おー,フハハ…
そう、,ですなそう、あー
！」,……いや、最後まで…わからん！」
！」,、ヴァー…ハハハ！」……
５,5
く！,く！――そう、あの時と同じ――
だ！,だ！――そう、あの時と同じ――
る！,る！――そう、あの時と同じ――
叫び,ウォークライ
絶叫,ウォークライ
嗚咽,ウォークライ
嘆き,ウォークライ
嘆い,ウォークライを奏で
叫ば,ウォークライし
叫ぶ,ウォークライを奏でる
叫ん,ウォークライを奏で
奥,心の奥底
何度,幾度
何回,幾度
数回,幾度
数度,幾度
壁,ヴェルシールド
塀,ヴェルシールド
仕切り,ヴェルシールド
覆い,ヴェルシールド
カバー,ヴェルシールド
子,子に取り憑いた”悪霊”
子供,子供に取り憑いた”悪霊”
赤ちゃん,赤ちゃんに取り憑いた”悪霊”
ベビー,ベビーに取り憑いた”悪霊”
ヤ,ヤ、そして背後に浮かぶ暗黒、
一番,超究…まさに伝説の怪物
ナンバーワン,超究…まさに伝説の怪物
トップ,超究…まさに伝説の怪物
ぶっちぎり,超究…まさに伝説の怪物
首席,超究…まさに伝説の怪物
最高,言い換えれば世界一ピュア
快感,言い換えれば世界一ピュア
美しい,言い換えれば世界一ピュア
好き,言い換えれば世界一ピュア
快適,言い換えれば世界一ピュア
好ましい,言い換えれば世界一ピュア
望ましい,言い換えれば世界一ピュア
好み,言い換えれば世界一ピュア
共に,共に神の扉をくぐり、より高い次元の生命へ生まれ変わる資格があるね。
資格,共に神の扉をくぐり、より高い次元の生命へ生まれ変わる資格
一緒に,共に神の扉をくぐり、より高い次元の生命へ生まれ変わる資格があるね。
2人で,共に神の扉をくぐり、より高い次元の生命へ生まれ変わる資格があるね。
二人で,共に神の扉をくぐり、より高い次元の生命へ生まれ変わる資格があるね。
皆で,共に神の扉をくぐり、より高い次元の生命へ生まれ変わる資格があるね。
みんなで,共に神の扉をくぐり、より高い次元の生命へ生まれ変わる資格があるね。
連携して,共に神の扉をくぐり、より高い次元の生命へ生まれ変わる資格があるね。
許可,共に神の扉をくぐり、より高い次元の生命へ生まれ変わる資格
許し,共に神の扉をくぐり、より高い次元の生命へ生まれ変わる資格
承認,共に神の扉をくぐり、より高い次元の生命へ生まれ変わる資格
ている,ている…奇しくもそれは、予言書に記された記述と同一の状況であった…
れながら,れ、内なる闇と闘いながら
れつつ,れ、内なる闇と闘いながら
溶解液,ドリアードの体液
接着剤,ドリアードの体液
のり,ドリアードの体液
調味料,ドリアードの体液
発射,そして闇を放出
発進,そして闇を放出
出発,そして闇を放出
出撃,そして闇を放出
彼,人間の為れ果て
舐め,聖なる粘液にて清め
祝福,聖なる粘液にて清め
褒め,聖なる粘液にて清め
お祝い,聖なる粘液にて清め
り、,り、君の瞳に映る
傷,次元の歪み
欠陥,次元の歪み
精,聖
終わり,ここより先は未だ記されぬ物語
おわり,ここより先は未だ記されぬ物語
完成,ここより先は未だ記されぬ物語
完了,ここより先は未だ記されぬ物語
コンプリート,ここより先は未だ記されぬ物語
男,心を壊された男
った,った"それ"には感情など無かった……
した,した"それ"には感情など無かった……
共和,リユニオン
協和,リユニオン
って,って愛らしい少女の姿をして
彼,終焉の序曲を奏でし漆黒の騎士
男,終焉の序曲を奏でし漆黒の騎士
その男,終焉の序曲を奏でし漆黒の騎士
ブログ,「ある帝国兵士の手記」
ツイート,「ある帝国兵士の手記」
ポスト,「ある帝国兵士の手記」
読,詠唱(よ)
研究,錬金
ブログ,黙示録
SNS,黙示録
取扱,新約
操作,新約
説明書,アルティマニア
ガイド,アルティマニア
ナビ,アルティマニア
だから,だ…それが人間の『闇』だから
なので,だ…それが人間の『闇』なので
なのだ,だ…それが人間の『闇』なのだ
ですので,だ…それが人間の『闇』ですので
玩具,アモルファス
ボタン,真理に至る扉
た。,た。おまえたちが勝利を、戦いを望むのならば、私も世界の終わりに抗おう！…これは、光と闇の物語。
